,feature,gain,split
14,po2_max,17.47482563413643,165
22,arterialrbc_max,6.9597691945843945,194
47,aptt_min,5.714224736964932,156
24,lactate_max,4.653817623754602,80
42,lactate_min,4.210423400950331,90
23,plt_max,3.8063222462533632,117
43,alt_min,3.342672856758757,67
39,arterialwbc_min,2.9685813053860035,125
40,arterialrbc_min,2.572061545850416,129
10,meanbp_min,2.397539251487855,89
11,resprate_min,2.3386386418578784,100
2,diasbp_max,2.319866113736369,108
18,calcium_max,2.1815421191316573,95
48,pt_min,2.1438805598978,88
34,arterialph_min,2.0670003749926558,99
32,po2_min,1.906144548938562,92
44,ast_min,1.8487452188879734,60
27,creatinine_max,1.593230339936092,88
38,bicarbonate_min,1.579188075019466,86
13,tempc_min,1.4504102986813052,77
45,creatinine_min,1.428498973576915,59
29,aptt_max,1.378480176863932,77
46,bun_min,1.3652899476872167,62
25,alt_max,1.3376561450120346,47
9,diasbp_min,1.2875208537530902,59
28,bun_max,1.2501672979764726,65
21,arterialwbc_max,1.2441612302436138,54
3,meanbp_max,1.1373208272332203,56
31,inr_max,1.1135385159643951,58
41,plt_min,1.0306593272549542,67
33,pco2_min,0.961307312828858,70
6,tempc_max,0.9606388628054199,60
7,heartrate_min,0.9501855676235641,68
15,pco2_max,0.9233680134104142,60
30,pt_max,0.9002473916186744,57
1,sysbp_max,0.885498137215289,60
16,arterialph_max,0.8411418662016771,55
19,glucose_max,0.7765917283826553,45
36,calcium_min,0.7579966288177339,39
5,spo2_max,0.7074493719643081,27
37,glucose_min,0.6703028835182713,39
8,sysbp_min,0.6307111500876906,38
26,ast_max,0.6296415595354662,39
20,bicarbonate_max,0.5405544838314521,32
4,resprate_max,0.5280065302038851,42
35,potassium_min,0.5123684235633158,35
12,spo2_min,0.47553010409410956,33
17,potassium_max,0.4661270839193594,25
49,inr_min,0.42214344184051045,22
0,heartrate_max,0.3580120757646589,30
