,feature,gain,split
21,po2_max,7.042726851400647,204
93,ptt_min,6.518554498229643,210
70,neutrophils_min,4.359166370554082,116
86,magnesium_min,3.0379182238159412,176
18,resprate_mean,2.7199401797608713,246
108,neutrophils_mean,2.4575093433448068,58
33,hematocrit_max,2.1967815534054167,178
82,creatine_kinase_min,2.0005184349448366,130
44,creatine_kinase_max,1.8820538292352558,115
62,lactate_min,1.7718238240046438,65
29,serum_rbc_max,1.7591124489338736,154
118,bun_mean,1.7235525044380942,165
32,neutrophils_max,1.6779027717463504,75
31,plt_max,1.4192686793121811,132
97,po2_mean,1.4139325474051188,113
124,magnesium_mean,1.370860072439621,144
12,tempc_min,1.3636453286669388,175
28,hemoglobin_max,1.33291136787802,113
126,sodium_mean,1.3271749863929512,148
80,bun_min,1.3135410842414084,136
68,serum_wbc_min,1.304602095273049,177
133,inr_mean,1.0945941936966925,38
107,plt_mean,1.0708577372189652,130
99,arterial_ph_mean,1.063112313568669,137
72,urine_ph_min,1.0064786701656319,43
100,lactate_mean,0.9837361983508169,96
34,urine_ph_max,0.9689900967233281,51
88,sodium_min,0.9661552265019457,81
11,resprate_min,0.9600104419928776,111
19,tempc_mean,0.9481646642285319,154
117,glucose_mean,0.9425259446514959,152
114,serum_albumin_mean,0.9155172893671625,77
120,creatine_kinase_mean,0.8934577381569137,51
5,tempc_max,0.8656294495220663,156
71,hematocrit_min,0.8448889939652295,109
24,lactate_max,0.8050661444594617,103
20,spo2_mean,0.7599730812187876,148
69,plt_min,0.7539144124370444,105
105,serum_rbc_mean,0.7373007842029381,98
94,pt_min,0.7260236079879292,89
125,potassium_mean,0.7215471852080283,127
42,bun_max,0.7115930059941673,65
38,serum_albumin_max,0.7108861369195406,73
14,heartrate_mean,0.683986833293205,111
122,calcium_mean,0.6741650148866103,112
79,glucose_min,0.6611274412652219,104
123,phosphate_mean,0.6587385604144218,114
3,meanbp_max,0.6528465154660273,110
55,ptt_max,0.6292760926946879,101
103,total_co2_mean,0.6140099857655082,83
2,diasbp_max,0.6100000223320776,107
7,heartrate_min,0.6060332533618417,110
30,serum_wbc_max,0.603632887961099,102
41,glucose_max,0.5951837475330718,101
131,ptt_mean,0.5727840518833732,86
85,phosphate_min,0.5467564997951678,91
73,urine_specific_gravity_min,0.5358287558679323,73
106,serum_wbc_mean,0.5310919498265237,88
16,diasbp_mean,0.508040873877079,87
47,phosphate_max,0.4974174364176597,91
84,calcium_min,0.48784952409848675,85
56,pt_max,0.48595471183261696,89
119,creatinine_mean,0.48497724138447146,77
15,sysbp_mean,0.48270223621533487,94
132,pt_mean,0.45016993398858723,77
61,arterial_ph_min,0.43422020014221285,60
96,fibrinogen_min,0.43386109854635024,39
4,resprate_max,0.4262127558049892,72
75,ast_min,0.4192495336954685,43
67,serum_rbc_min,0.41279335164263814,71
17,meanbp_mean,0.4081276965154739,73
49,potassium_max,0.40720036350865974,68
127,chloride_mean,0.40192959821024515,79
76,serum_albumin_min,0.39061701105192514,41
1,sysbp_max,0.3883763937978501,68
98,pco2_mean,0.38758836068471436,74
8,sysbp_min,0.385422203230624,65
27,total_co2_max,0.3753017139979313,62
59,po2_min,0.365788641313982,68
23,arterial_ph_max,0.3573974367772403,58
101,be_mean,0.35541540006709693,66
66,hemoglobin_min,0.35035289202374503,60
109,hematocrit_mean,0.3469538566421305,58
13,spo2_min,0.34492250909295286,62
22,pco2_max,0.3356190234663493,58
110,urine_ph_mean,0.32708451515894066,14
51,chloride_max,0.3259919231112025,56
37,ast_max,0.3251744912738943,41
113,ast_mean,0.32004634756221007,39
77,troponin_t_min,0.3195223050562168,37
54,ck_mb_max,0.3185462159580151,42
9,diasbp_min,0.30680137799516327,51
50,sodium_max,0.2999018196171392,47
57,inr_max,0.29684083453798743,42
35,urine_specific_gravity_max,0.29453731364160224,36
65,total_co2_min,0.28939207846626047,35
58,fibrinogen_max,0.2850819646438118,30
104,hemoglobin_mean,0.28072550936817003,45
0,heartrate_max,0.27713648703389954,53
64,sao2_min,0.27435474472576094,43
46,calcium_max,0.2661654384015263,54
43,creatinine_max,0.26546568339939974,41
10,meanbp_min,0.2618827885500735,48
36,alt_max,0.2514797013137258,40
89,chloride_min,0.24447701081962386,43
121,ld_mean,0.2442956786732224,36
111,urine_specific_gravity_mean,0.23658448613686733,33
87,potassium_min,0.22628701577659266,40
134,fibrinogen_mean,0.2229043865259402,30
45,ld_max,0.22072608498073193,26
102,sao2_mean,0.21503757850060967,35
78,alp_min,0.214390223800751,34
81,creatinine_min,0.2103728476226497,33
60,pco2_min,0.20790846759837223,46
48,magnesium_max,0.20100550006963144,36
63,be_min,0.19686782283109663,25
92,ck_mb_min,0.19412932069622663,25
130,ck_mb_mean,0.17490261254341494,28
95,inr_min,0.16958540007841633,18
83,ld_min,0.16340702404264928,31
91,lipase_min,0.13397103575835562,22
74,alt_min,0.13106303769740982,21
40,alp_max,0.12380337372934465,22
115,troponin_t_mean,0.12290481917656636,16
112,alt_mean,0.10816439331093806,15
26,sao2_max,0.10754848473616489,17
39,troponin_t_max,0.0918842328028636,14
116,alp_mean,0.09122561120660345,16
90,amylase_min,0.08958850674774253,14
25,be_max,0.08655019492665027,16
128,amylase_mean,0.07263494599627855,10
129,lipase_mean,0.05113760888322144,9
52,amylase_max,0.04264301120182169,8
6,spo2_max,0.04038473882085525,8
53,lipase_max,0.03363908215782657,6
