,feature,gain,split
14,po2_max,16.140671701718873,165
22,arterialrbc_max,6.887246858345803,243
47,aptt_min,5.700228519684928,175
24,lactate_max,4.857810983581552,105
23,plt_max,3.9452379901662122,148
42,lactate_min,3.392453511216345,69
44,ast_min,3.060424883212679,71
2,diasbp_max,2.8135891670565774,121
40,arterialrbc_min,2.704842974936906,153
39,arterialwbc_min,2.639273927615841,146
10,meanbp_min,2.494695474610332,94
11,resprate_min,2.279621453581459,120
45,creatinine_min,2.1838558917349515,88
13,tempc_min,1.8992745769040549,117
32,po2_min,1.865140465089214,89
18,calcium_max,1.8040240510443784,108
43,alt_min,1.7364192783831953,65
38,bicarbonate_min,1.651970253950631,89
3,meanbp_max,1.6184972945886822,101
29,aptt_max,1.5992473323174123,106
15,pco2_max,1.5384270078562352,83
27,creatinine_max,1.5266070579727968,78
46,bun_min,1.508536817573245,88
34,arterialph_min,1.45082587843154,84
19,glucose_max,1.417416487938644,80
9,diasbp_min,1.3931735458345433,80
48,pt_min,1.232245458967221,77
21,arterialwbc_max,1.2279548052766927,76
6,tempc_max,1.158781117884314,95
30,pt_max,1.1448796726896928,75
1,sysbp_max,1.0935291168865426,82
33,pco2_min,1.088480444952967,88
31,inr_max,1.0617244099676553,69
41,plt_min,1.0392115311287475,83
25,alt_max,0.9720804473220173,52
36,calcium_min,0.8986817040775463,56
4,resprate_max,0.8739970608436687,60
26,ast_max,0.8321211648885403,41
17,potassium_max,0.7524453805821981,44
28,bun_max,0.7239507879884565,52
20,bicarbonate_max,0.7016081029155634,48
7,heartrate_min,0.6973117162068941,60
0,heartrate_max,0.678859721482379,58
16,arterialph_max,0.6721362033484578,48
8,sysbp_min,0.6516186053334175,57
37,glucose_min,0.5646393227813753,40
5,spo2_max,0.5637496248185665,20
35,potassium_min,0.5341625999164898,33
49,inr_min,0.3967433142623193,23
12,spo2_min,0.32957430013124467,26
